Latin	0.003284098763217701
Germany	0.0026036643808011076
Italy	0.002446991349980972
Soviet_Union	0.0024238458225344893
European_Union	0.0023492870700336597
Greek_language	0.0022234648059085214
Europe	0.0021518531844993416
Russia	0.0020608019137086215
India	0.002052026439555474
Christianity	0.0019603624713184194
Roman_Empire	0.0018900086827045416
London	0.0018173540319165787
China	0.001815947225339532
French_language	0.001806438715607253
Japan	0.001788104109100591
Netherlands	0.0016836157019231455
Arabic_language	0.001591628319477255
Rome	0.0015857545353847662
Middle_Ages	0.0015365944490360827
Encyclopædia_Britannica	0.0015339542166256115
England	0.0015268079675245228
Iran	0.00145702866041269
Spain	0.0014446691888652884
German_language	0.0014052276289043362
New_York_Times	0.0013776834321944354
Switzerland	0.0013753285789237495
Ottoman_Empire	0.001360684043609727
Paris	0.0013169146135873946
Poland	0.0012647993031865352
Muslim	0.001263209747623907
Nazi_Germany	0.0012264334502315184
Brazil	0.0011962848655333704
Greece	0.0011663964233405966
California	0.0011388606177432173
Spanish_language	0.0011308590145362807
Scotland	0.001121594110021679
Atlantic_Ocean	0.0011083922418877884
Judaism	0.0011051473979882718
Microsoft	0.0010963810099590512
Eastern_Orthodox_Church	0.0010782731490298965
Portugal	0.0010756704702122675
Belgium	0.0010599113604602929
Aristotle	0.0010228387132245806
Indonesia	0.001017591135990417
British_Empire	0.0010119381350005131
DNA	0.0010094161912065163
North_America	9.929107050674177E-4
Holy_Roman_Empire	9.896604238312568E-4
Pakistan	9.535016017548898E-4
Norway	9.439110083575184E-4
International_Monetary_Fund	9.410938221892509E-4
Afghanistan	9.392638764216703E-4
Microsoft_Windows	9.36859246494948E-4
French_Revolution	9.257157859069394E-4
Roman_Catholic	9.022263003448964E-4
American_Civil_War	9.019475021009538E-4
President_of_the_United_States	9.017961969206401E-4
Pacific_Ocean	8.929407816599286E-4
Renaissance	8.897308723059481E-4
Athens	8.845989888736827E-4
Bible	8.803934335939107E-4
Association_football	8.783781987004305E-4
Earth	8.710585080263955E-4
Internet	8.706272324459937E-4
Sunni_Islam	8.679689677460758E-4
NATO	8.67755706579301E-4
Asia	8.609101181762199E-4
Pope	8.558750960734635E-4
Mediterranean_Sea	8.534969053922385E-4
Finland	8.490596365528265E-4
